7176.5	7962.0	125.24826350	24.72084419
7168.6	7861.0	125.18329402	24.82816632
7225.2	7875.0	125.28425656	24.83858131
7333.2	8003.1	125.45003005	24.72865131
7294.0	7918.1	125.38409561	24.78485187
6804.7	7824.9	124.69643157	24.75456439
6792.4	7894.9	124.69878138	24.65603916
6536.0	7863.9	124.32652601	24.60419429
6337.2	7939.0	124.11900383	24.44589099
6339.2	7962.0	124.12248662	24.43323750
6352.4	7952.9	124.13695555	24.44348940
6283.3	8035.0	124.08939763	24.32533324
6218.7	8001.0	123.98082810	24.33872125
6213.5	8083.0	124.00868226	24.23822724
6127.4	7863.0	123.82056261	24.47177773
6105.0	7896.0	123.77507542	24.43557433
5991.8	7970.1	123.66348126	24.30993884
6118.7	8040.1	123.87627583	24.25556124
6195.6	7968.0	123.93958966	24.36254985
5555.6	7718.3	122.99614225	24.45620399
